pair_id,label_A,label_B,text_A,text_B
2,"This may be overly obvious, but in American English, saying ""you're welcome"" is certainly polite and standard.","I'm not sure how ""Not at all"" sounds in response to ""thank you""."

t,cos_to_A,cos_to_B,nn_rank,nn_cos,nn_text
0.0,0.7887417078018188,0.5519222617149353,1,0.8925638198852539,A man is laying on the ground.
0.0,0.7887417078018188,0.5519222617149353,2,0.892471432685852,The man is jumping into the water.
0.0,0.7887417078018188,0.5519222617149353,3,0.8921611905097961,A boy is walking across a bridge.
0.0,0.7887417078018188,0.5519222617149353,4,0.8920254707336426,A dog is running through the ocean.
0.0,0.7887417078018188,0.5519222617149353,5,0.8919876217842102,A dog is running on the ground.
0.1,0.7933342456817627,0.5726637840270996,1,0.8904853463172913,Two people are sailing a small boat.
0.1,0.7933342456817627,0.5726637840270996,2,0.8904420733451843,Two kids playing with a dog.
0.1,0.7933342456817627,0.5726637840270996,3,0.8902824521064758,A person riding a dirt bike.
0.1,0.7933342456817627,0.5726637840270996,4,0.8901392221450806,Two people are riding a motorcycle.
0.1,0.7933342456817627,0.5726637840270996,5,0.8900148868560791,A young girl running on the beach.
0.2,0.7771826982498169,0.5256644487380981,1,0.8848581910133362,A panda dog is running on the road.
0.2,0.7771826982498169,0.5256644487380981,2,0.8846136927604675,A dog is running around a yard.
0.2,0.7771826982498169,0.5256644487380981,3,0.8845421075820923,A dog is running on the ground.
0.2,0.7771826982498169,0.5256644487380981,4,0.8845356702804565,A young boy is holding a guitar.
0.2,0.7771826982498169,0.5256644487380981,5,0.8844085931777954,A dog runs across the grassy field.
0.3,0.7683737874031067,0.5322002172470093,1,0.87846839427948,Three dogs pulling a man on a bicycle through the snow.
0.3,0.7683737874031067,0.5322002172470093,2,0.878454327583313,The people threw the dummy over the cliff edge.
0.3,0.7683737874031067,0.5322002172470093,3,0.8784291744232178,The lady put the baby int a trashcan.
0.3,0.7683737874031067,0.5322002172470093,4,0.878364622592926,three young woman jumping into the air to catch a ball.
0.3,0.7683737874031067,0.5322002172470093,5,0.8781313896179199,A brown dog carrying a stick in its mouth.
0.4,0.7572372555732727,0.5259044170379639,1,0.8723854422569275,Smeone is laying down.
0.4,0.7572372555732727,0.5259044170379639,2,0.8719267249107361,The cook pouring oil into the pan.
0.4,0.7572372555732727,0.5259044170379639,3,0.8718035817146301,A badger is digging in the dirt.
0.4,0.7572372555732727,0.5259044170379639,4,0.8717392086982727,A guy is mowing the lawn.
0.4,0.7572372555732727,0.5259044170379639,5,0.8716327548027039,Three dogs are playing in the water.
0.5,0.7667887210845947,0.5224968791007996,1,0.8757822513580322,A dog is riding a skateboard.
0.5,0.7667887210845947,0.5224968791007996,2,0.8756542205810547,A truck is going down a hill.
0.5,0.7667887210845947,0.5224968791007996,3,0.8754733800888062,A dog is pulling a child down a hill.
0.5,0.7667887210845947,0.5224968791007996,4,0.8754541277885437,A little boy is playing a keyboard.
0.5,0.7667887210845947,0.5224968791007996,5,0.875436007976532,A small kitten is playing a ball.
0.6,0.7453340291976929,0.5233216881752014,1,0.8454667925834656,A surfer is riding a wave.
0.6,0.7453340291976929,0.5233216881752014,2,0.8445426821708679,A man is catching a ball.
0.6,0.7453340291976929,0.5233216881752014,3,0.8443894982337952,A plane flying at a distance.
0.6,0.7453340291976929,0.5233216881752014,4,0.8442277908325195,A man is taking a picture.
0.6,0.7453340291976929,0.5233216881752014,5,0.8441199660301208,A dog is driving a car.
0.7,0.7784052491188049,0.54758220911026,1,0.8783478736877441,A man and woman are talking.
0.7,0.7784052491188049,0.54758220911026,2,0.877954363822937,A man is diving into a swimming pool.
0.7,0.7784052491188049,0.54758220911026,3,0.8774130344390869,A man is laying on the ground.
0.7,0.7784052491188049,0.54758220911026,4,0.8773658275604248,The man is jumping into the water.
0.7,0.7784052491188049,0.54758220911026,5,0.8773356080055237,A man and woman is eating.
0.8,0.7590779662132263,0.5443297624588013,1,0.8617584705352783,A red bird is perched in a tree.
0.8,0.7590779662132263,0.5443297624588013,2,0.8617503643035889,A large bird of prey flying towards the camera.
0.8,0.7590779662132263,0.5443297624588013,3,0.8617013096809387,A black dog retrieves in the snow.
0.8,0.7590779662132263,0.5443297624588013,4,0.8615409731864929,A horse rider is riding a white horse.
0.8,0.7590779662132263,0.5443297624588013,5,0.8614370822906494,A black poodle is running in the snow.
0.9,0.7808840870857239,0.5486658215522766,1,0.8796697854995728,Someone slices a bottle with a sword.
0.9,0.7808840870857239,0.5486658215522766,2,0.8795241713523865,Someone is folding a piece of paper.
0.9,0.7808840870857239,0.5486658215522766,3,0.8794900178909302,Doctors are trying to revive a man.
0.9,0.7808840870857239,0.5486658215522766,4,0.8794669508934021,Man riding a bicycle down a narrow path.
0.9,0.7808840870857239,0.5486658215522766,5,0.879396378993988,Men are running a race.
1.0,0.747641921043396,0.5073263645172119,1,0.8568375706672668,A monkey is teasing a dog at the zoo.
1.0,0.747641921043396,0.5073263645172119,2,0.8566631078720093,A man makes a call on a cell phone.
1.0,0.747641921043396,0.5073263645172119,3,0.8566467761993408,A woman watches a dog jump down the stairs.
1.0,0.747641921043396,0.5073263645172119,4,0.8565618991851807,A small bird eating from the feeder.
1.0,0.747641921043396,0.5073263645172119,5,0.8565036654472351,A large jet on the ground at the airport.
